#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
120	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.980903	0	0	4896590.0	3031200.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf120	-1	BERKELEY-LAB.mgf	1.17598				7	0	0.000488281	415.212	0	CCMSLIB00010113136
283	spectra_filtered.mgf	*..*		:4886	3306	-1	0	531.407	1	0.94979	0	0	4599470.0	511542.0	Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf283	-1	GNPS-NIST14-MATCHES.mgf	2.41197				11	0	0.00128174	531.408	0	CCMSLIB00003137793
231	spectra_filtered.mgf	*..*		:406	130	-1	0	371.1	1	0.938369	0	0	2493310.0	411457.0	CAMPTOTHECIN M+Na	LEAFBOT	temp/spectra_filtered.mgf231	-1	LEAFBOT.mgf	3.45389				11	0	0.00128174	371.101	0	CCMSLIB00011427902
93	spectra_filtered.mgf	*..*		:11368	29831	-1	0	228.071	1	0.92775	0	0	410.035	429241.0	MUCIC ACID [M+NH4]+	MONA	temp/spectra_filtered.mgf93	-1	MONA.mgf	547.54				9	0	0.124878	228.196	0	CCMSLIB00004702431
68	spectra_filtered.mgf	*..*		:1310	3910	-1	0	169.122	0	0.925726	0	0	501847.0	368740.0	Spectral Match to Jasmine lactone from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf68	-1	GNPS-NIST14-MATCHES.mgf	5815.99				7	0	0.983612	168.138	0	CCMSLIB00003138397
249	spectra_filtered.mgf	*..*		:1461	4494	-1	0	626.217	1	0.925683	0	0	11103900.0	767277.0	Contaminant vial septum ThermoFisher C5000-44B M+NH4	GNPS-LIBRARY	temp/spectra_filtered.mgf249	-1	GNPS-LIBRARY.mgf	3159.38				18	0	1.97845	628.195	0	CCMSLIB00005435819
200	spectra_filtered.mgf	*..*		:406	130	-1	0	371.1	1	0.921396	0	0	2493310.0	351803.0	CAMPTOTHECIN M+Na	LEAFBOT	temp/spectra_filtered.mgf200	-1	LEAFBOT.mgf	3.37165				11	0	0.00125122	371.101	0	CCMSLIB00011427902
107	spectra_filtered.mgf	*..*		:1118	19581	-1	0	287.104	1	0.913055	0	0	332.996	151140.0	2-[[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-3,4-dihydro-2H-chromen-7-yl]oxy]oxane-3,4,5-triol [M+K]+	MONA	temp/spectra_filtered.mgf107	-1	MONA.mgf	4129.86				6	0	1.1857	288.29	0	CCMSLIB00004692181
265	spectra_filtered.mgf	*..*		:1537	4495	-1	0	700.236	1	0.911821	0	0	8286830.0	722573.0	Contaminant vial septum ThermoFisher C5000-44B M+NH4	GNPS-LIBRARY	temp/spectra_filtered.mgf265	-1	GNPS-LIBRARY.mgf	2825.32				18	0	1.97839	702.214	0	CCMSLIB00005435820
125	spectra_filtered.mgf	*..*		:41175	53174	-1	0	302.305	1	0.911605	0	0	14894800.0	227651.0	Massbank:LU100204 2,2'-(Tetradecylimino)diethanol|Tetradecyldiethanolamine M+H	MASSBANK	temp/spectra_filtered.mgf125	-1	MASSBANK.mgf	1.11045				8	0	0.000335693	302.305	0	CCMSLIB00005766726
220	spectra_filtered.mgf	*..*		:4684	5620	-1	0	283.26	1	0.907564	0	0	2285130.0	25076500.0	Spectral Match to 3-Hydroxyoctadecanoic Acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf220	-1	GNPS-NIST14-MATCHES.mgf	3462.45				10	0	0.980774	282.279	0	CCMSLIB00003140107
258	spectra_filtered.mgf	*..*		:3144	709	-1	0	338.23	1	0.903741	0	0	825717.0	435026.0	3-hydroxylauroyl valine [M+Na]+ [M+Na]+	3-HYDROXY-ACYL-AMIDES-LIBRARY	temp/spectra_filtered.mgf258	-1	3-HYDROXY-ACYL-AMIDES-LIBRARY.mgf	330.051				9	0	0.111633	338.342	0	CCMSLIB00013641540
247	spectra_filtered.mgf	*..*		:1299	9594	-1	0	184.097	0	0.899004	0	0	96171.0	1194390.0	DL-NORMETANEPHRINE - 50.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf247	-1	GNPS-LIBRARY.mgf	4302.7				7	0	0.792114	184.889	0	CCMSLIB00005884452
184	spectra_filtered.mgf	*..*		:3192	1670	-1	0	255.232	1	0.896289	0	0	243558.0	1265600.0	Spectral Match to Palmitelaidic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf184	-1	GNPS-NIST14-MATCHES.mgf	3855.83				9	0	0.984131	254.248	0	CCMSLIB00003136157
252	spectra_filtered.mgf	*..*		:8563	283	-1	0	185.081	0	0.895405	0	0	9596610.0	1274940.0	Asperlactone M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf252	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1036.9				7	0	0.19191	184.889	0	CCMSLIB00011906249
290	spectra_filtered.mgf	*..*		:1948	4809	-1	0	536.165	1	0.880148	0	0	422790.0	3646880.0	Contaminants septum vial Thermo C4000-53 and C4000-54 serie M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf290	-1	GNPS-LIBRARY.mgf	2.04906				12	0	0.00109863	536.166	0	CCMSLIB00005436264
100	spectra_filtered.mgf	*..*		:388	5073	-1	0	177.055	0	0.877628	0	0	41353.7	556093.0	Spectral Match to Diethyl phthalate from NIST14 M+H-C2H6O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf100	-1	GNPS-NIST14-MATCHES.mgf	1.72362				6	0	0.000305176	177.055	0	CCMSLIB00003139560
191	spectra_filtered.mgf	*..*		:3119	918	-1	0	265.216	1	0.876534	0	0	1253890.0	180235.0	Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf191	-1	GNPS-NIST14-MATCHES.mgf	7461.74				6	0	1.97897	263.237	0	CCMSLIB00003135404
218	spectra_filtered.mgf	*..*		:3168	3168	-1	0	247.0	1	0.873465	0	0	592.682	194559.0	MoNA:2479447 O-Galactosylsphingosine M+H	MONA	temp/spectra_filtered.mgf218	-1	MONA.mgf	980.393				10	0	0.242157	247.242	0	CCMSLIB00000565916
54	spectra_filtered.mgf	*..*		:1183	808	-1	0	171.101	1	0.860579	0	0	22217000.0	5552100.0	Spectral Match to Azelaic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf54	-1	GNPS-NIST14-MATCHES.mgf	5747.56				7	0	0.983414	170.118	0	CCMSLIB00003135294
52	spectra_filtered.mgf	*..*		:4789	5235	-1	0	189.112	1	0.860559	0	0	1274310.0	1045680.0	azelaic acid CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf52	-1	BERKELEY-LAB.mgf	5202.34				8	0	0.983826	188.128	0	CCMSLIB00010107223
224	spectra_filtered.mgf	*..*		:6012	2362	-1	0	282.279	1	0.859154	0	0	283986.0	1064500.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf224	-1	GNPS-NIST14-MATCHES.mgf	0.75678				9	0	0.000213623	282.279	0	CCMSLIB00003136849
81	spectra_filtered.mgf	*..*		:1679	2668	-1	0	213.149	1	0.854555	0	0	845860.0	432113.0	Spectral Match to Dodecanedioic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf81	-1	GNPS-NIST14-MATCHES.mgf	4618.32				7	0	0.98439	212.165	0	CCMSLIB00003137155
129	spectra_filtered.mgf	*..*		:27891	27891	-1	0	316.321	1	0.850568	0	0	210.671	63234.8	NONADECANOIC ACID [M+NH4]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf129	-1	MSNLIB-POSITIVE.mgf	0.28943				6	0	9.15527e-05	316.321	0	CCMSLIB00012323394
7	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	1	0.849856	0	0	690140.0	949781.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf7	-1	GNPS-NIST14-MATCHES.mgf	4.14806				9	0	0.000991821	239.106	0	CCMSLIB00003140197
138	spectra_filtered.mgf	*..*		:16928	117367	-1	0	330.179	1	0.840717	0	0	365.592	166605.0	Z1517722710 [M+Na]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf138	-1	MSNLIB-POSITIVE.mgf	477.203				6	0	0.157562	330.337	0	CCMSLIB00012766668
219	spectra_filtered.mgf	*..*		:2578	3297	-1	0	563.552	1	0.820041	0	0	5172120.0	169220.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 2M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf219	-1	GNPS-NIST14-MATCHES.mgf	0.866435				9	0	0.000488281	563.552	0	CCMSLIB00003137784
277	spectra_filtered.mgf	*..*		:1427	4499	-1	0	776.234	1	0.816041	0	0	63569300.0	454292.0	Contaminant vial septum ThermoFisher C5000-44B M+NH4	GNPS-LIBRARY	temp/spectra_filtered.mgf277	-1	GNPS-LIBRARY.mgf	0.943558				13	0	0.000732422	776.233	0	CCMSLIB00005435824
83	spectra_filtered.mgf	*..*		:1815	3778	-1	0	227.164	1	0.815279	0	0	1655990.0	395340.0	Spectral Match to 1,11-Undecanedicarboxylic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf83	-1	GNPS-NIST14-MATCHES.mgf	4330.9				8	0	0.983826	226.18	0	CCMSLIB00003138265
239	spectra_filtered.mgf	*..*		:1120	893	-1	0	311.257	1	0.810892	0	0	651644.0	151001.0	Spectral Match to Monopalmitolein (9c) from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf239	-1	GNPS-NIST14-MATCHES.mgf	3041.39				9	0	0.946655	310.31	0	CCMSLIB00003135379
121	spectra_filtered.mgf	*..*		:5913	5913	-1	0	432.311	1	0.810621	0	0	154.649	189109.0	Glycoursodeoxycholic acid (Chimeric precursor selection) M+H	MCE-DRUG	temp/spectra_filtered.mgf121	-1	MCE-DRUG.mgf	168.432				6	0	0.0728149	432.238	0	CCMSLIB00010135637
174	spectra_filtered.mgf	*..*		:406	130	-1	0	371.1	1	0.806032	0	0	2493310.0	162838.0	CAMPTOTHECIN M+Na	LEAFBOT	temp/spectra_filtered.mgf174	-1	LEAFBOT.mgf	3.45389				6	0	0.00128174	371.101	0	CCMSLIB00011427902
221	spectra_filtered.mgf	*..*		:4684	5620	-1	0	283.26	1	0.80385	0	0	2285130.0	94455.0	Spectral Match to 3-Hydroxyoctadecanoic Acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf221	-1	GNPS-NIST14-MATCHES.mgf	78.4325				8	0	0.0222168	283.282	0	CCMSLIB00003140107
96	spectra_filtered.mgf	*..*		:1018	937	-1	0	255.157	0	0.801361	0	0	1377020.0	183200.0	acetic_acid_isobutyl_ester 2M+Na	GNPS-NUTRI-METAB-FEM-POS	temp/spectra_filtered.mgf96	-1	GNPS-NUTRI-METAB-FEM-POS.mgf	8.13301				7	0	0.0020752	255.159	0	CCMSLIB00006673889
110	spectra_filtered.mgf	*..*		:1830	20293	-1	0	289.141	1	0.798798	0	0	443.142	107803.0	(4aR,5S)-9,9a-dihydroxy-3,4a,5-trimethyl-5,6,7,8,8a,9-hexahydro-4H-benzo[f][1]benzofuran-2-one [M+Na]+	MONA	temp/spectra_filtered.mgf110	-1	MONA.mgf	2944.3				6	0	0.851318	288.29	0	CCMSLIB00004692893
201	spectra_filtered.mgf	*..*		:10729	29192	-1	0	447.105	1	0.795107	0	0	359.751	323080.0	(1S,3R,6R,7S,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.0,.0,?.0?,.0,?]nonadecane-5,15,18-trione [M+K]+	MONA	temp/spectra_filtered.mgf201	-1	MONA.mgf	4439.44				10	0	1.98489	445.12	0	CCMSLIB00004701792
41	spectra_filtered.mgf	*..*		:672	49913	-1	0	175.096	1	0.794895	0	0	194.0	555784.0	SUBERIC ACID M+H	MONA	temp/spectra_filtered.mgf41	-1	MONA.mgf	5616.34				6	0	0.983398	174.113	0	CCMSLIB00006678942
43	spectra_filtered.mgf	*..*		:83509	183948	-1	0	155.081	1	0.79308	0	0	161.721	2200250.0	1-Ethyl-3-methyl-1H-pyrazole-4-carboxylic acid [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf43	-1	MSNLIB-POSITIVE.mgf	6584.12				6	0	1.02107	156.102	0	CCMSLIB00012885037
155	spectra_filtered.mgf	*..*		:2326	6918	-1	0	297.243	1	0.790055	0	0	215400.0	337182.0	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585] [M-H2O+H]+	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	temp/spectra_filtered.mgf155	-1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE.mgf	3312.4				12	0	0.984589	296.258	0	CCMSLIB00005722214
38	spectra_filtered.mgf	*..*		:4789	5235	-1	0	189.112	1	0.779777	0	0	1274310.0	624870.0	azelaic acid CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf38	-1	BERKELEY-LAB.mgf	10406.1				7	0	1.96793	187.144	0	CCMSLIB00010107223
273	spectra_filtered.mgf	*..*		:7852	26315	-1	0	685.174	1	0.773311	0	0	603.568	496709.0	7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one [M+K]+	MONA	temp/spectra_filtered.mgf273	-1	MONA.mgf	1416.46				13	0	0.97052	684.203	0	CCMSLIB00004698915
175	spectra_filtered.mgf	*..*		:5174	5174	-1	0	281.247	1	0.771019	0	0	716.361	277427.0	MoNA:790553 Linoleic acid M+H	MONA	temp/spectra_filtered.mgf175	-1	MONA.mgf	3496.67				9	0	0.983429	280.264	0	CCMSLIB00000567923
192	spectra_filtered.mgf	*..*		:16	16	-1	0	281.247	1	0.765436	0	0	5067.0	912000.0	linoleic acid [M+H]+	GNPS-SCIEX-LIBRARY	temp/spectra_filtered.mgf192	-1	GNPS-SCIEX-LIBRARY.mgf	3496.67				13	0	0.983429	280.264	0	CCMSLIB00006581640
132	spectra_filtered.mgf	*..*		:38184	38184	-1	0	278.284	1	0.753065	0	0	150.749	94873.8	PERHEXILINE [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf132	-1	MSNLIB-POSITIVE.mgf	7113.32				7	0	1.97952	280.264	0	CCMSLIB00012344148
232	spectra_filtered.mgf	*..*		:1406	4504	-1	0	552.197	1	0.752658	0	0	514612.0	187536.0	Contaminant vial septum ThermoFisher C5000-44B M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf232	-1	GNPS-LIBRARY.mgf	3584.98				9	0	1.97961	554.177	0	CCMSLIB00005435829
235	spectra_filtered.mgf	*..*		:11777	4136	-1	0	297.315	1	0.752599	0	0	7557940.0	63381.3	Phytol; (E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf235	-1	GNPS-LIBRARY.mgf	3431.49				6	0	1.02023	296.295	0	CCMSLIB00004722180
180	spectra_filtered.mgf	*..*		:2255	326	-1	0	279.231	1	0.749472	0	0	1008200.0	54617.8	Spectral Match to 9(10)-EpOME from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf180	-1	GNPS-NIST14-MATCHES.mgf	3520.72				6	0	0.983093	278.248	0	CCMSLIB00003134812
286	spectra_filtered.mgf	*..*		:16030	34493	-1	0	849.403	1	0.747535	0	0	577.294	297610.0	(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,6bS,8aS,14bR)-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid [M+K]+	MONA	temp/spectra_filtered.mgf286	-1	MONA.mgf	999.453				12	0	0.848938	850.252	0	CCMSLIB00004707093
139	spectra_filtered.mgf	*..*		:7920	19919	-1	0	281.247	1	0.74346	0	0	780907.0	266963.0	Massbank:EQ331604 Linoleic acid|(9Z,12Z)-octadeca-9,12-dienoic acid M+H	MASSBANK	temp/spectra_filtered.mgf139	-1	MASSBANK.mgf	3496.78				6	0	0.983459	280.264	0	CCMSLIB00005733471
193	spectra_filtered.mgf	*..*		:30	720	-1	0	224.032	0	0.741478	0	0	211699.0	68019.7	GLUCOSAMINE 6-PHOSPHATE M-2H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf193	-1	GNPS-MSMLS.mgf	3688.29				6	0	0.826294	223.206	0	CCMSLIB00005464471
84	spectra_filtered.mgf	*..*		:1013	1013	-1	0	245.175	1	0.736147	0	0	22802900.0	251612.0	Brassylic acid - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf84	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	4014.12				8	0	0.984161	244.191	0	CCMSLIB00006114412
146	spectra_filtered.mgf	*..*		:5206	5206	-1	0	281.247	1	0.722628	0	0	476.055	260474.0	MoNA:790536 Linoleic acid M+H	MONA	temp/spectra_filtered.mgf146	-1	MONA.mgf	3496.78				8	0	0.983459	280.264	0	CCMSLIB00000567955
135	spectra_filtered.mgf	*..*		:16067	16067	-1	0	278.284	1	0.72143	0	0	151.231	75297.5	PERHEXILINE M+H	MCE-DRUG	temp/spectra_filtered.mgf135	-1	MCE-DRUG.mgf	7113.32				8	0	1.97952	280.264	0	CCMSLIB00010145791
176	spectra_filtered.mgf	*..*		:1	585	-1	0	299.222	1	0.714952	0	0	3668520.0	120589.0	Nephrosteranic acid [M+H]	LDB_POSITIVE	temp/spectra_filtered.mgf176	-1	LDB_POSITIVE.mgf	3167.9				10	0	0.947906	298.274	0	CCMSLIB00005720013
209	spectra_filtered.mgf	*..*		:6255	6255	-1	0	257.3	1	0.712681	0	0	5776090.0	488223.0	Massbank:FFF00150 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol [M-2H2O+H]+	MASSBANK	temp/spectra_filtered.mgf209	-1	MASSBANK.mgf	7265.27				7	0	1.86935	259.169	0	CCMSLIB00000213344
170	spectra_filtered.mgf	*..*		:7970	26433	-1	0	359.089	0	0.711683	0	0	262.819	85078.1	Carpachromene [M+Na]+	MONA	temp/spectra_filtered.mgf170	-1	MONA.mgf	2008.14				7	0	0.7211	358.368	0	CCMSLIB00004699033
20	spectra_filtered.mgf	*..*		:5344	5344	-1	0	251.154	1	0.706908	0	0	112456000.0	208072.0	Tryptamine_Benzaldehyde (known isomers: 0; isobaric peaks in run: 1) [M+H]+	GNPS-ALKYLAMINES-LIBRARY	temp/spectra_filtered.mgf20	-1	GNPS-ALKYLAMINES-LIBRARY.mgf	3651.11				6	0	0.916992	252.071	0	CCMSLIB00016348371
153	spectra_filtered.mgf	*..*		:13072	25071	-1	0	279.232	1	0.703892	0	0	16996.0	116269.0	Massbank:RP030402 ?-linolenic acid|linolenic acid|(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid M+H	MASSBANK	temp/spectra_filtered.mgf153	-1	MASSBANK.mgf	3694.26				8	0	1.03156	280.264	0	CCMSLIB00005738623
